client_id,segment,annual_demand_tons,priority,shipment_count,shipped_weight_kg,total_transport_cost_eur,avg_distance_km,avg_transit_hours,total_co2_kg,cluster,cluster_profile,recommendation
CLIENT001,Standard,436.26,1,16,71083.0,55213.21,4795.426875,75.363125,42698.5,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT002,Standard,196.68,1,13,18816.0,2634.27,4308.733846153847,91.72538461538461,1376.69,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT003,Standard,149.11,1,12,47946.0,71453.73,9349.5725,150.71833333333333,54970.66,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT004,Standard,370.02,1,11,18654.0,11783.85,9901.952727272726,205.6509090909091,8460.83,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT005,Standard,414.28,2,11,27223.0,143364.29,3866.331818181818,51.75727272727273,107186.91,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes."
CLIENT006,Standard,206.9,1,8,19403.0,1598.08,4449.71875,85.53875,1040.21,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT007,Premium,93.28,1,8,41245.0,23451.64,6337.39375,91.72,15507.13,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT008,Premium,473.24,2,13,50186.0,1750.29,1583.0738461538463,36.82153846153846,1233.53,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT009,Premium,228.91,1,10,14267.0,9245.76,1913.001,19.923,6871.69,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT010,Industrial,282.99,1,6,3981.0,6086.1,10024.366666666667,119.83166666666666,5037.59,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT011,Premium,426.97,1,4,11870.0,12070.39,13857.6325,303.2225,9871.37,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT012,Industrial,354.06,1,13,27530.0,31651.25,8744.701538461539,147.8969230769231,26316.97,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT013,Industrial,380.85,2,10,9641.0,2091.23,1010.268,22.21,1574.38,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT014,Standard,144.08,1,10,16959.0,3670.54,1787.98,17.85,2761.79,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT015,Standard,293.65,1,10,49923.0,26827.5,8570.787,168.166,18169.07,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT016,Standard,363.1,1,13,34164.0,48818.61,10073.11846153846,143.73615384615385,34812.19,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT017,Premium,152.85,2,15,74640.0,18122.83,4622.322666666667,76.99,15989.9,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT018,Premium,128.73,1,9,5988.0,3364.6,2346.5255555555555,36.596666666666664,1965.87,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT019,Standard,491.98,1,14,53083.0,17050.98,2917.145,48.543571428571425,15181.8,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT020,Standard,282.49,3,7,34570.0,16660.06,3367.7114285714288,78.59571428571428,11417.77,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT021,Standard,167.37,2,10,34479.0,14235.76,7470.349,165.852,12130.89,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT022,Standard,498.31,2,6,11535.0,79059.57,12068.195,250.77833333333334,58875.45,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT023,Industrial,484.44,1,13,41291.0,286224.11,2062.433076923077,26.80076923076923,214798.29,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes."
CLIENT024,Premium,301.23,1,14,32682.0,41152.3,3902.242142857143,55.005714285714284,34552.35,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT025,Premium,447.19,1,10,10280.0,53608.71,11146.739,131.615,40864.74,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT026,Standard,134.92,1,9,57714.0,5966.59,2041.29,40.17777777777778,4656.6,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT027,Standard,175.49,1,11,17688.0,10187.23,2328.9881818181816,39.738181818181815,8680.36,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT028,Standard,365.16,2,10,47004.0,46620.36,8672.401,134.386,41865.77,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT029,Premium,431.0,1,8,9895.0,2941.05,5145.3625,108.25625,1790.44,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT030,Standard,435.35,3,10,38000.0,12595.43,4835.5,127.825,6335.48,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT031,Standard,232.03,1,3,20460.0,7175.85,9272.773333333333,180.17333333333335,3907.93,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT032,Standard,449.5,2,12,31567.0,68819.1,7492.1425,117.14166666666667,48663.12,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT033,Industrial,432.92,1,18,92359.0,229697.7,3347.6077777777778,48.044444444444444,176057.52,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes."
CLIENT034,Standard,471.04,1,9,30434.0,22410.73,9729.89,140.9777777777778,15514.7,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT035,Standard,403.4,2,10,41595.0,118792.94,9290.483,151.354,92139.12,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT036,Premium,351.04,1,12,21454.0,15952.4,5799.788333333333,78.63583333333334,12922.3,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT037,Standard,311.31,1,7,58395.0,66867.04,11661.71,192.37285714285716,56880.12,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT038,Premium,217.53,3,10,44630.0,29436.59,9898.746,203.414,18852.99,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT039,Standard,473.06,2,12,37848.0,274157.27,4228.988333333334,87.77166666666666,205589.85,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes."
CLIENT040,Standard,488.15,1,5,2759.0,6853.56,10440.338,142.73,5150.2,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT041,Industrial,177.76,1,4,1704.0,311.67,3610.0225,58.595,280.5,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT042,Standard,187.41,1,9,16984.0,1843.74,2688.4177777777777,47.96888888888889,1351.41,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT043,Premium,268.53,2,5,44765.0,11977.85,6363.3,102.764,6295.64,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT044,Industrial,251.79,1,10,17974.0,2309.8,1327.952,27.045,2066.53,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT045,Premium,497.51,1,9,78288.0,3968.47,2206.47,58.46333333333333,2064.27,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT046,Standard,129.17,1,7,21105.0,794.88,1116.7571428571428,35.75,615.11,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT047,Standard,58.13,1,12,27947.0,2704.82,4555.816666666667,77.12416666666667,2108.84,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT048,Standard,272.25,2,11,50852.0,3583.29,1263.31,26.98,2530.59,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT049,Standard,130.47,1,9,57795.0,61253.85,9244.106666666667,178.7488888888889,52681.8,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions."
CLIENT050,Standard,214.91,3,9,13547.0,639.06,934.55,22.49222222222222,482.75,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT051,Industrial,384.88,1,13,67525.0,12943.11,4500.57,80.92692307692307,9362.85,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
CLIENT052,Standard,374.42,1,12,21398.0,5712.37,2738.6741666666667,60.111666666666665,4747.78,1,Standard customers / efficient flows,Maintain current warehouse assignments and prioritize shipment consolidation to keep logistics costs at a low level.
